Title,Director,Genres,Plot,Vote Average,Vote Count
The Peasants,Hugh Welchman,"Drama, History, Animation","Peasant girl Jagna is forced to marry the much older, wealthy farmer Boryna, despite her love for his son Antek. With time, Jagna becomes the object of envy and disdain with the villagers and she must fight to preserve her independence.",7.8,102
Unbroken,Angelina Jolie,"Drama, War","A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",7.437,4076
Look Both Ways,Wanuri Kahiu,"Romance, Drama, Comedy","On the eve of her college graduation, Natalie's life diverges into two parallel realities: one in which she becomes pregnant and must navigate motherhood as a young adult in her Texas hometown, the other in which she moves to LA to pursue her career. In both journeys throughout her twenties, Natalie experiences life-changing love, devastating heartbreak and rediscovers herself.",6.891,644
Ronin,John Frankenheimer,"Action, Thriller, Crime","A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case.",6.961,2332
Parasyte: Part 1,Takashi Yamazaki,"Science Fiction, Horror, Action, Drama","Humanity is suffering from a series of mysterious murders across the globe, known as the 'Mincemeat murders'. High school student Izumi Shinichi has a parasite living off him, having replaced his right hand, and he might be the discoverer of truth.",7.1,279
Godzilla vs. Biollante,Kazuki Ōmori,"Action, Horror, Fantasy, Science Fiction","After the previous Godzilla attack, a miniature arms race ensues to collect his cells. Concerned over Godzilla's possible return, the Japanese government uses the cells to create a new bio-weapon, ANEB (Anti-Nuclear Energy Bacteria). They seeks the aid of geneticist Genshiro Shiragami, who's experiments result in a new mutation.",7.4,241
Mrs. Henderson Presents,Stephen Frears,"Comedy, Drama","Eccentric 70-year-old widow purchases the Windmill Theatre in London as a post-widowhood hobby. After starting an innovative continuous variety review, which is copied by other theaters, they begin to lose money. Mrs. Henderson suggests they add female nudity similar to the Moulin Rouge in Paris.",6.707,213
Warm Bodies,Jonathan Levine,"Horror, Comedy, Romance","After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",6.457,6011
The Fighter,David O. Russell,Drama,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",7.4,4305
Julie & Julia,Nora Ephron,"Romance, Drama","Julia Child and Julie Powell – both of whom wrote memoirs – find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible.",6.7,2055
The House by the Cemetery,Lucio Fulci,"Horror, Mystery","After a doctor kills his mistress and himself while researching the mysterious previous owner of his Boston home, his colleague, Dr. Norman Boyle, takes over his studies and moves his family into the Boston mansion. Soon after, Boyle's young son Bob becomes plagued by visions of a young girl, who warns him of the danger within the house.",6.2,383
The Cloverfield Paradox,Julius Onah,"Horror, Science Fiction, Thriller","Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",5.6,3226
Tango & Cash,Andrei Konchalovsky,"Action, Thriller, Comedy, Drama","Ray Tango and Gabriel Cash are two successful narcotics detectives who can't stand each other. Crime lord Yves Perret, furious at the loss of income they have caused him, plots an elaborate revenge against them.",6.449,1896
Sex Girl 12,Choi Jin-chul,"Drama, Romance","Two men love one woman. Seo-yeon chooses who to have a relationship with, every time. Jin-woo and Dong-hyeon competes with Seo-yeon's attention, but she doesn't think the setup is strange. Actually, there is a reason why she doesn't want to choose between the two. Who will win Seo-yeon's love in the end? The unending love story between the three is just beginning.",6.5,27
Monster High: 13 Wishes,Steve Sacks,"Family, Fantasy, Animation","It’s a new school year at Monster High™, and the little sister of Clawdeen Wolf™, Howleen, is determined to be more fangtastic than ever.  Her dream of popularity turns out to be easier than anyone imagined when she stumbles upon a genie named Gigi Grant™ who grants her not 3, but 13 Wishes!  But the ghouls quickly learn to be s-careful what you wish for because each wish comes with a dark side, and soon the student disem-body of Monster High™ is turned upside-down!  Join Frankie Stein™, Clawdeen Wolf™, Draculaura™ and the rest of their creeperiffic ghoulfriends as they journey deep inside the magic lantern to save the very soul of Monster High™… while flashing their killer style every step of the way!",7.604,158
Crimson Rivers II: Angels of the Apocalypse,Olivier Dahan,"Action, Thriller, Crime","No one is safe when seemingly random killings emerge as a deadly pattern intended to usher in the end of the world.  A murder victim with the same DNA as Christ. A serial killer mimicking the deaths of the 12 Apostles. Inspector Niemans and a young, rebellious detective team up with a beautiful expert in religion to crack the case before their elusive suspect completes the cycle of terror, paving the way to an even bigger bloody catastrophe.",6.1,703
Flatliners,Joel Schumacher,"Drama, Science Fiction, Horror","Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life.",6.5,1526
Sinkhole,Kim Ji-hoon,"Comedy, Drama",A working class family move into a new condo purchased after 11 years of hard work. They throw a housewarming party to show his co-workers when overnight a heavy downpour creates an extremely deep sinkhole that engulfs the entire building.,7.0,130
Deception,Marcel Langenegger,"Thriller, Mystery","As a corporate auditor who works in a number of different offices, Jonathan McQuarry wanders without an anchor among New York's power brokers. A chance meeting with charismatic lawyer Wyatt Bose leads to Jonathan's introduction to The List, an underground sex club. Jonathan begins an affair with a woman known only as S, who introduces Jonathan to a world of treachery and murder.",6.0,647
Snuffology,Jason Impey,Horror,"From the darkest corners of the world come acts of unspeakable violence and scenes of cruelty and pure evil caught on film. Snuffology is a collection of videos containing various sex crimes and murders committed to celluloid, many from the personal collections of disturbed and depraved individuals lacking any sympathy or emotion for their heavily suffering victims.",0.0,0
W.,Oliver Stone,"Drama, History","The story of the eventful life of George W. Bush—his struggles and triumphs, how he found both his wife and his faith—and the critical days leading up to his decision to invade Iraq.",6.2,622
Analyze This,Harold Ramis,"Comedy, Crime","Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster.",6.5,1845
Midas Man,Joe Stephenson,"Music, History, Drama","When Brian Epstein set foot in the Cavern Club in November 1961 to watch The Beatles perform, he saw something no one else could – a glimmer of gold. Sharply dressed and well-spoken, Brian was hardly the most obvious radical – but being Jewish, closeted and having grown up as an outsider who had failed at pretty much everything, he was a 26-year old with something to prove and who wanted to tear up the rulebook.",6.333,3
Murder by Numbers,Barbet Schroeder,"Crime, Drama, Thriller","Tenacious homicide detective Cassie Mayweather and her still-green partner are working a murder case, attempting to profile two malevolently brilliant young men: cold, calculating killers whose dark secrets might explain their crimes.",6.132,1006
Ninja III: The Domination,Sam Firstenberg,"Action, Fantasy, Horror",Aerobics instructor Christie Ryder becomes possessed by the spirit of an evil ninja when she comes to his aid after he was shot down.,6.1,119
Epic Movie,Jason Friedberg,"Comedy, Adventure, Fantasy","When the Pevensie siblings each follow their own path, they find themselves at Willy's Chocolate Factory. Walking through a wardrobe, they discover the world of Gnarnia, ruled by the White Bitch. Meeting up with characters such as Harry Potter and Captain Jack Swallows, the newly reunited family must team up with Aslo, a wise-but-horny lion to stop the White Bitch's army.",3.852,1519
Drive My Car,Ryūsuke Hamaguchi,Drama,"Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanya at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled.",7.4,1235
"Salome, Where She Danced",Charles Lamont,"Western, War, Drama, Music","During the Austrian-Prussian war, Anna Marie is a dancer who is forced to flee her country after she is accused of being a spy. She ends up in a lawless western town in Arizona, where she uses her charms and dancing skills to transform herself into ""Salome"" during her dance routines.",3.7,6
Stuber,Michael Dowse,"Action, Comedy","After crashing his car, a cop who's recovering from eye surgery recruits an Uber driver to help him catch a heroin dealer. The mismatched pair soon find themselves in for a wild day of stakeouts and shootouts as they encounter the city's seedy side.",6.649,1277
Young Sister-In-Law 2,Kim Tae-soo,Romance,"Won-jin is sent into a nearby region suddenly by the company. He is unprepared when he goes down so he calls his friend Chang-hoon who lives there. Chang-hoon lets Won-jin stay at his house for the time being but Won-jin gets to thinking.  The reason is, Chang-hoon's young wife Soo-yeong has a history with Won-jin. However, Won-jin decides to go to Chang-hoon's house to see Soo-yeong. Chang-hoon just happens to leave the house for a while and Won-jin meets Soo-yeong's glamorous friend Kyeong-hee who is also living there.  Won-jin starts living with Soo-yeong and Kyeong-hee who starts seducing him.",5.2,9
Scrooged,Richard Donner,"Fantasy, Comedy, Drama","Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing a staff member on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.",6.8,1485
"Batman: The Long Halloween, Part Two",Chris Palmer,"Animation, Mystery, Action, Crime","As Gotham City's young vigilante, the Batman, struggles to pursue a brutal serial killer, district attorney Harvey Dent gets caught in a feud involving the criminal family of the Falcones.",7.4,505
Rope,Alfred Hitchcock,"Thriller, Crime, Drama",Two friends attempt to prove they committed the perfect murder by hosting a dinner for the family of a classmate they strangled to death.,7.9,2673
The November Man,Roger Donaldson,"Crime, Action, Thriller",An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,6.1,1451
21 Grams,Alejandro González Iñárritu,"Drama, Crime, Thriller","Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",7.332,3080
Naked Killer,Clarence Ford,"Action, Crime, Thriller",A young woman is trained by a martial arts specialist to become a professional assassin.,5.9,73
Palm Trees in the Snow,Fernando González Molina,"Drama, History, Romance","Spain, 2003. An accidental discovery leads Clarence to travel from the snowy mountains of Huesca to Equatorial Guinea, to visit the land where her father Jacobo and her uncle Kilian spent most of their youth, the island of Fernando Poo.",7.393,526
One Piece 3D: Straw Hat Chase,Hiroyuki Satou,"Animation, Adventure","One Piece 3D: Straw Hat Chase is the 11th One Piece film of the series, and is set before the time-skip. This is One Piece's first movie release to be in 3D CGI. The movie is also the first One Piece film since Movie 3 to be a double-feature. This time, the film was featured with ""Toriko 3D: Gourmet Adventure"", both being billed as the ""Jump Heroes Film"". The double-feature was released on March 19, 2011.",6.8,150
Trollhunters: Rise of the Titans,Francisco Ruiz Velasco,"Animation, Fantasy, Family, Action, Adventure","The Guardians of Arcadia reunite to battle the nefarious Arcane Order, who've reawakened the primordial Titans.",7.5,329
The Emperor and the Assassin,Chen Kaige,"History, Drama","In pre-unified China, the King of Qin sends his concubine to a rival kingdom to produce an assassin for a political plot, but as the king's cruelty mounts she finds her loyalty faltering.",6.9,79
Yu-Gi-Oh! The Movie,Hatsuki Tsuji,"Animation, Fantasy, Action, Science Fiction","After the conclusion of the Battle City Tournament, deep below the sands of Egypt, an ancient evil has awakened. Anubis, who was defeated centuries ago by Yugi’s mysterious alter ego – the ancient Pharaoh – has returned for revenge. Wielding the power of the Eighth Millennium Item, Anubis is determined to destroy Yugi and take over the world.",6.1,339
Batman and Superman: Battle of the Super Sons,Matt Peters,"Animation, Action, Science Fiction","After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.",7.7,288
In the Line of Fire,Wolfgang Petersen,"Action, Drama, Thriller, Crime, Mystery","Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",7.0,1552
Men,Alex Garland,"Horror, Thriller, Fantasy","In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone — or something — from the surrounding woods appears to be stalking her, and what begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears.",6.111,1059
The Gates,Stephen Hall,Horror,"A serial killer has been sentenced to death by electric chair in London in the 1890s, but in his final hours, he puts a curse on the prison he is in, and all of those in it.",4.0,3
Tòkunbọ̀,Ramsey Nouah,"Thriller, Crime, Drama",An ex-car smuggler is given three hours to deliver a government official's daughter to her captor — or else his family will suffer the consequences.,6.8,28
Crater,Kyle Patrick Alvarez,"Science Fiction, Action, Adventure, Family","After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",6.7,262
Contract Killer,Stephen Tung Wai,"Action, Comedy, Thriller","Financially troubled, a newbie hitman reluctantly takes the job of finding the plotted killer of a Japanese tycoon.",7.034,222
Private Lessons,Alan Myerson,"Comedy, Romance","Phillip Filmore is a naive, 15-year-old, preoccupied with sex, who develops a crush on Nicole Mallow, the new 30-something, French housekeeper and sitter to look after him when Phillip's father is out of town for the summer on a ""business"" trip. But Mr. Filmore's unscrupulous chauffeur, Lester Lewis, takes advantage of Phillip's crush on Nicole to hire her to seduce the youth, then draws her into a plot to fake her own death in a blackmail scheme aimed to drain Phillip's trust fund.",5.784,111
The Heat,Paul Feig,"Action, Comedy, Crime","Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: buddies.",6.6,3890
Seeds of Yesterday,Shawn Ku,"TV Movie, Thriller, Drama","The Sheffield family reveal and go through some home truths as their middle child inherits the Foxworth mansion. The family's ghosts looming over, and more tragedies are in store as the curse lives on.",6.5,103
Vice,Brian A. Miller,"Thriller, Science Fiction, Action, Adventure","Julian Michaels has designed the ultimate resort: VICE, where anything goes and the customers can play out their wildest fantasies with artificial inhabitants who look, think and feel like humans. When an artificial becomes self-aware and escapes, she finds herself caught in the crossfire between Julian's mercenaries and a cop who is hell-bent on shutting down Vice, and stopping the violence once and for all.",4.4,540
Rocketman,Dexter Fletcher,"Music, Drama","The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",7.329,4620
The Sitter,David Gordon Green,Comedy,"Noah, is not your typical entertain-the-kids-no-matter-how-boring-it-is kind of sitter. He's reluctant to take a sitting gig; he'd rather, well, be doing anything else, especially if it involves slacking. When Noah is watching the neighbor's kid he gets a booty call from his girlfriend in the city. To hook up with her, Noah takes to the streets, but his urban adventure spins out of control as he finds himself on the run from a maniacal drug lord.",5.6,922
Detective Conan: The Eleventh Striker,Yasuichiro Yamamoto,"Animation, Mystery, Action","Kogoro's detective agency receives a mysterious phone call. Someone on the other end warns about a bomb and leaves behind a code, which if Conan can decipher the riddle, he can stop the bomb. An adventure begins for Conan and the Detective Boys, taking place at a soccer match between Hideo Akagi of the Tokyo Spirits and Ryusuke Higo of Big Osaka.",6.9,122
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Action, Animation, Adventure, Fantasy","With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace.",7.654,143
Patton,Franklin J. Schaffner,"War, Drama, History","""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",7.505,1083
Hellboy Animated: Blood and Iron,Tad Stones,"Animation, Fantasy, Horror, Action, Thriller, Science Fiction","When Hellboy, Liz Sherman, and Abe Sapien are assigned to investigate the ghost-infested mansion of a publicity-hound billionaire, they uncover a plot to resurrect a beautiful yet monstrous vampire from Professor Bruttenholm’s past. But before they can stop her bloodbath, Hellboy will have to battle harpies, hellhounds, a giant werewolf, and even the ferocious goddess Hecate herself.",6.3,115
Uma Advogada Brilhante,Ale McHaddo,Comedy,"In the film, actor Leandro Hassum plays lawyer Michelle Barbieri, known as Mike. The company where he works is bought by an office that decides to keep only women in its positions. However, the character is not fired, since, due to her name, the HR department believes that she is a woman. The character then starts dressing in women's clothing to stay in his job.",0.0,0
Shaolin,Benny Chan,"Action, Drama","China is plunged into strife as feuding warlords try to expand their power by warring over neighboring lands. Fuelled by his success on the battlefield, young and arrogant Hao Jie sneers at Shaolin's masters when he beats one of them in a duel. But the pride comes before a fall. When his own family is wiped out by a rival warlord, Hao is forced to take refuge with the monks. As the civil unrest spreads and the people suffer, Hao and the Shaolin masters are forced to take a fiery stand against the evil warlords. They launch a daring plan or rescue and escape.",6.9,359
Fright Night Part 2,Tommy Lee Wallace,"Horror, Comedy","After three years of therapy Charley Brewster, now a college student, is convinced that Jerry Dandridge was a serial killer posing as a vampire. But when Regine, a mysterious actress and her entourage move into Peter Vincent's apartment block, the nightmare starts again - and this time it's personal!",6.336,378
Juice,Ernest R. Dickerson,"Crime, Drama, Thriller","Four Harlem friends -- Bishop, Q, Steel and Raheem -- dabble in petty crime, but they decide to go big by knocking off a convenience store. Bishop, the magnetic leader of the group, has the gun. But Q has different aspirations. He wants to be a DJ and happens to have a gig the night of the robbery. Unfortunately for him, Bishop isn't willing to take no for answer in a game where everything's for keeps.",7.2,383
To End All War: Oppenheimer & the Atomic Bomb,Christopher Cassel,"Documentary, History","Explore how one man's relentless drive and invention of the atomic bomb changed the nature of war forever, led to the deaths of hundreds of thousands of people and unleashed mass hysteria.",7.763,207
Support Your Local Sheriff!,Burt Kennedy,"Comedy, Western","In the old west, a man becomes a Sheriff just for the pay, figuring he can decamp if things get tough.",6.931,175
Bottom of the Water,Lim Ji-hoon,"Horror, Mystery","An evil spirit that can escape the water only by possessing a living person.  The evil spirit of a child who died unjustly while waiting for his mother alone. As her younger sister Soo-ah is attacked, she and her family suffer for a long time. Her mother Geum-jeong, a spiritual shaman, was in charge of the five elements' energy. She tried to use her coexistence and antipathy to escape from the water ghost, but in the end, Soo-ah disappears into the cold, deep water, and the lives of her remaining family fall apart.  Then one day, Ga-yeong went to find her mother who suddenly disappeared. She heads to the reservoir that swallowed Soo-ah, where she discovers a mysterious body. Ga-yeong is chased by a terrible evil spirit that takes the form of her dead brother…",4.0,2
Green Border,Agnieszka Holland,Drama,"In the treacherous and swampy forests that make up the so called “green border” between Belarus and Poland, refugees from the Middle East and Africa trying to reach the European Union are trapped in a geopolitical crisis cynically engineered by Belarusian dictator Alexander Lukashenko. In an attempt to provoke Europe, refugees are lured to the border by propaganda promising easy passage to the EU. Pawns in this hidden war, the lives of Julia, a newly minted activist who has given up her comfortable life, Jan, a young border guard, and a Syrian family intertwine.",7.5,81
Agent Game,Grant S. Johnson,"Action, Thriller","Harris, a CIA interrogator at an Agency black site, finds himself the target of a rendition operation after being scapegoated for an interrogation gone horribly wrong. As the team tasked to bring Harris in begins to question their orders -- and each other --Olsen, a senior intelligence officer, and his subordinate, Visser, raise the stakes. Now, it's up to Harris and some newfound allies to uncover the truth and turn the tables.",5.1,92
Los verduleros,Adolfo Martínez Solares,Comedy,"The adventures of two friends, one a chicken vendor in a market and the other a policeman. They have love affairs and capture criminals.",7.3,160
Milf,Scott Wheeler,Comedy,A group of nerdy college guys who can't seem to connect with girls their own age discover the excitement of hooking up with sexy older women.,4.5,87
Inspector Clouseau,Bud Yorkin,"Comedy, Crime","Detective Inspector Jacques Clouseau is borrowed from the Surete on special assignment for Scotland Yard in hopes that a fresh outlook will help the government recover the loot from the Great Train Robbery, which is being used to underwrite a new crime wave. What they don't count on, however, is having more than one Clouseau on the job.",5.0,77
But I'm a Cheerleader,Jamie Babbit,"Comedy, Romance","Megan is an all-American girl. A cheerleader. She has a boyfriend. But Megan doesn't like kissing her boyfriend very much. And she's pretty touchy with her cheerleader friends. Her conservative parents worry that she must be a lesbian and send her off to ""sexual redirection"" school, where she must, with other lesbians and gays learn how to be straight.",7.0,664
The Dog Who Saved the Holidays,Michael Feifer,"Family, Comedy, TV Movie","It's a sun-soaked holiday season for the Bannister family as they travel to Southern California to stay with Aunt Barbara, who surprises them with a new puppy named Eve. Everyone is smitten with Eve -- except for the Bannister's dog, Zeus, who sees what a mischievous animal she is when no one else is around. After deciding to run away, Zeus sees Ted and Stewey, two thrifty thieves, trying to break into the family home while the Bannisters are at church. It's up to Zeus and his newest sister Eve to join together to save the holidays for their family!",5.1,15
Persepolis,Vincent Paronnaud,"Animation, Drama","In 1970s Iran, Marjane 'Marji' Statrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own.",7.897,1930
Uproar,Hamish Bennett,Drama,"A 17 year-old student is forced to get off the fence he has actively sat on all his life to stand up for himself, his whanau (family) and his future in this heartwarming story of identity.",5.8,15
Hard Feelings,Granz Henman,Comedy,"Teenagers Charly and Paula worry that sex could ruin their friendship, while their suddenly and surprisingly bossy private parts urge them to go for it.",5.8,143
Plunkett & MacLeane,Jake Scott,"Action, Comedy, Drama","Will Plunkett and Captain James Macleane, two men from different ends of the social spectrum in 18th-century England, enter a gentlemen's agreement: They decide to rid the aristocrats of their belongings. With Plunkett's criminal know-how and Macleane's social connections, they team up to be soon known as ""The Gentlemen Highwaymen"". But when one day these gentlemen hold up Lord Chief Justice Gibson's coach, Macleane instantly falls in love with his beautiful and cunning niece, Lady Rebecca Gibson. Unfortunately, Thief Taker General Chance, who also is quite fond of Rebecca, is getting closer and closer to getting both.",6.027,132
Popstar: Never Stop Never Stopping,Jorma Taccone,"Comedy, Music","When his new album fails to sell records, pop/rap superstar Conner4real goes into a major tailspin and watches his celebrity high life begin to collapse. He'll try anything to bounce back, anything except reuniting with his old rap group The Style Boyz.",6.6,1225
Avengers Confidential: Black Widow & Punisher,Kenichi Shimizu,"Animation, Science Fiction, Action","When the Punisher takes out a black-market weapons dealer, he stumbles upon a far-reaching terrorist plot devised by a group known as Leviathan.",6.4,252
Wyatt Earp,Lawrence Kasdan,"Western, Drama, Action, Adventure","From Wichita to Dodge City, to the O.K. Corral in Tombstone, Wyatt Earp is taught that nothing matters more than family and the law. Joined by his brothers and Doc Holliday, Earp wages war on the dreaded Clanton and McLaury gangs.",6.8,834
Cici,Berkun Oya,Drama,"A family migrates to the city after a tragic loss. When they reunite in their hometown 30 years later, buried emotions and painful secrets resurface.",6.4,34
The Do-Over,Steven Brill,"Action, Adventure, Comedy",The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,5.699,1478
Halloweentown,Duwayne Dunham,"Adventure, Comedy, Family, Fantasy, TV Movie","On her 13th birthday, Marnie learns she's a witch, discovers a secret portal, and is transported to Halloweentown — a magical place where ghosts and ghouls, witches and werewolves live apart from the human world. But she soon finds herself battling wicked warlocks, evil curses, and endless surprises.",6.808,531
The Signal,William Eubank,"Thriller, Science Fiction","On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness – only to find himself in a waking nightmare.",6.0,1653
Perras,Guillermo Ríos,"Thriller, Drama, Romance","Something terrible is happening in class 3A at Calmecatl Junior High. No one can leave the classroom until the guilty party is found. This is the device that gives us a glimpse of the ethics, games, esthetics and eroticism of these girl-women. It is not easy to say what the subject is, there are so many: the discovery of sexuality, discrimination, chance, drugs, maternity, traditions, betrayals, power, love. A mural of a complex reality from the point of view of twenty-something women in the skin of 14 to 15 year old girls.",7.156,279
Assassin's Bullet,Isaac Florentine,"Action, Adventure, Thriller","In Assassin's Bullet, Slater plays Robert Diggs, a black ops agent who comes to work for Ambassador Ashdown (Hunger Games star Donald Sutherland), tracking down a vigilante assassin in Eastern Europe. The maverick hit(wo)man has been taking out high-profile targets on the U.S. hit list, and Diggs must uncover the killer's identity before there's an international incident. The usual game of cat and mouse ensues.",3.9,64
The Girl on the Bridge,Patrice Leconte,"Drama, Comedy, Romance","It's night on a Paris bridge. A girl leans over Seine River with tears in her eyes and a violent yearning to drown her sorrows. Out of nowhere someone takes an interest in her. He is Gabor, a knife thrower who needs a human target for his show. The girl, Adele, has never been lucky and nowhere else to go. So she follows him. They travel along the northern bank of the Mediterranean to perform.",7.058,190
Tees,Dibakar Banerjee,"Drama, Science Fiction","Spanning across 90 years, follow a middle-class Muslim family across three generations.  2042. Six months after his manuscript titled Tees (30) is rejected for publication by the Literature and Arts Commission, Anhad Draboo, a young freelance prostitute, meets Niharika, a “reader” from the Commission – who has been searching for Anhad ever since she read his manuscript.  2018. Zia Draboo, a corporate lawyer living in Mumbai and all set to buy the flat she has been renting with her partner Meera, finds out she cannot buy it because of the Housing Society’s resistance to her name.  1989-90. Ayesha, a housebound State Radio newsreader in Srinagar, Kashmir, reaches out to her childhood friend Usha to solicit help from her husband – a government official. She needs it for her own husband, Ghulam Muhammad, who faces bankruptcy and ruin amongst rising unrest in the city.",0.0,0
We Are Your Friends,Max Joseph,"Drama, Music, Romance, Comedy","Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",6.8,2313
Homecoming,Mervyn LeRoy,"Drama, Romance, War","Self-absorbed Dr. Lee Johnson enlists with the Army medical corps during World War II, more out of a feeling that it's ""the thing to do"" rather than deep-seated patriotism. On his first day, he's put into place by 'Snapshot', a sassy and attractive nurse. Their initial antagonism blossoms into romance. Lee then finds himself torn with guilt over being unfaithful to his wife, Penny, who's waiting for him back home.",7.0,9
Dangal,Nitesh Tiwari,"Drama, Family, Comedy, Action","Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",7.907,967
Half Baked: Totally High,Michael Tiddes,Comedy,"Sequel of Half Baked (1998), it will follow JR and his friends as they search for money to bury one of his best friends who died from smoking the most powerful joint in the world.",7.3,6
High and Low,Akira Kurosawa,"Drama, Crime, Mystery","In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.",8.3,900
A Streetcar Named Desire,Elia Kazan,"Drama, Thriller",A fading southern belle moves in with her sister in New Orleans where her ferocious brother-in-law takes stabs at her sanity.,7.6,1338
The Brave One,Neil Jordan,"Crime, Drama, Thriller",A woman struggles to recover from a brutal attack by setting out on a mission for revenge.,6.585,952
The Pledge,Sean Penn,"Crime, Drama, Mystery, Thriller",A police chief about to retire pledges to help a woman find her daughter's killer.,6.5,1006
Bandit,Allan Ungar,"Crime, Drama, Thriller","After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the story of The Flying Bandit.",6.206,326
Suicide Squad: Hell to Pay,Sam Liu,"Science Fiction, Action, Animation","It’s batter up at Belle Reve and that can only mean that Amanda Waller, the penitentiary’s cold and calculating warden, has a mission that only the damned will take on. It’s time to unleash Task Force X again, stacked with seasoned vets such as Deadshot, Captain Boomerang and Harley Quinn, these crafty criminals are joined by newcomers Copperhead, Killer Frost and the martial art master, Bronze Tiger! With the target objective being a mystical object so powerful that they’re willing to risk their own lives to steal it, you can be sure it will be collision of chaos, gunfire and attitudes. So, take aim for a raging road trip with the Suicide Squad!",7.1,655
